Id,Nom,Cle,Description,type,Source
210,Lamelune,lamelune ,"De tous les objets magiques créés par les elfes, les plus prisés et les plus jalousement gardés sont les Lamelunes. Dans les temps anciens, presque toutes les maisons elfes nobles prétendaient posséder une telle lame. Au fil des siècles, certaines lames s'évaporèrent, leur magie s'affaiblissant à mesure que les lignées familiales s'éteignaient. D'autres disparurent avec leur porteur au cours de quêtes épiques. Et c'est ainsi qu'aujourd'hui il ne reste plus que quelques exemplaires de ces épées.

","Arme (épée longue), légendaire (nécessite un lien avec un elfe ou un demi-elfe d'alignement neutre bon)",Dungeon Master´s Guide
211,Lanterne de révélation,lanterne-de-revelation ,"Tant qu'elle est allumée, cette lanterne à capote brûle un demi-litre d'huile en 6 heures et produit une lumière vive dans un rayon de 9 mètres et une lumière faible dans les 9 mètres suivants. Les créature et objets invisibles deviennent visible tant qu'ils sont dans le halo de la lumière vive. Vous pouvez utiliser une action pour rabattre la capote de la lanterne, réduisant la luminosité à un halo de lumière réduite de 1,50 mètre de rayon.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
212,Les Chapitres interdits,les-chapitres-interdits ,"Le contenu de cet aberrant manuscrit d'une ineffable cruauté représente le pain et le vin des esclaves du Mal. Aucun mortel n'était censé en apprendre les secrets, des mystères tellement épouvantables que jeter un œil aux pages griffonnées peut déjà conduire à la folie.

","Objet merveilleux, artéfact (nécessite un lien)",Dungeon Master´s Guide
213,Les Chapitres sacrés,les-chapitres-sacres ,"Traité ultime sur tout ce qui représente le Bien dans le multivers, les légendaires Chapitres sacrés sont mentionnés avec insistance dans de nombreuses religions. Plus qu'une sainte écriture en l'honneur d'une seule foi, les multiples auteurs du livre en remplirent les pages avec leur propre vision de ce qu'est la véritable vertu, offrant un véritable guide à tous ceux qui souhaiteraient vaincre le Mal.

","Objet merveilleux, artéfact (nécessite un lien avec une créature d'alignement bon)",Dungeon Master´s Guide
214,Liens de fer de Bilarro,liens-de-fer-de-bilarro ,"Cette sphère de fer rouillé mesure 7,50 cm de diamètre et pèse 500 grammes. Vous pouvez utiliser une action pour prononcer le mot de commande et lancer la sphère sur une créature de taille G ou inférieure que vous pouvez voir et située dans un rayon de 18 mètres autour de vous. Alors que la sphère progresse dans les airs, elle s'ouvre en un enchevêtrement de bandelettes métalliques.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
215,Lunettes de nuit,lunettes-de-nuit ,"Lorsque vous portez ces lunettes noires, vous obtenez vision dans le noir dans un rayon de 18 mètres. Si vous possédez déjà vision dans le noir, porter ces lunettes augmente le rayon de vision de 18 mètres.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
216,Mailles éfrit,mailles-efrit ,"Tant que vous portez cette armure, vous gagnez un bonus de +3 à la CA, vous êtes immunisé aux dégâts de feu, et vous pouvez comprendre et parler le primordial. De plus, vous pouvez rester sur de la roche en fusion et même marcher dessus, comme s'il s'agissait de terre solide.

","Armure (cotte de mailles), légendaire (nécessite un lien)",Dungeon Master´s Guide
217,Mailles elfiques,mailles-elfiques ,"Vous gagnez un bonus de +1 à la CA lorsque vous portez cette armure.

","Armure (chemise de mailles), rare",Dungeon Master´s Guide (SRD)
218,Manteau de résistance aux sorts,manteau-de-resistance-aux-sorts ,"Vous avez un avantage à tous les jets de sauvegarde contre les sorts tant que vous portez cette cape.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
219,Manuel d'exercices physiques,manuel-d-exercices-physiques ,"Ce livre contient des exercices de remise en forme physique, et ses mots sont chargés de magie. Si vous passez 48 heures sur une période de 6 jours ou moins à étudier le contenu du livre et pratiquez ses lignes directrices, votre Force augmente de 2, tout comme votre maximum pour cette caractéristique. Le manuel perd alors sa magie, mais la retrouvera dans un siècle.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
220,Manuel de vitalité,manuel-de-vitalite ,"Ce livre contient des conseils de santé et d'alimentation, et ses mots sont chargés de magie. Si vous passez 48 heures sur une période de 6 jours ou moins à étudier le contenu du livre et pratiquez ses lignes directrices, votre Constitution augmente de 2, tout comme votre maximum pour cette caractéristique. Le manuel perd alors sa magie, mais la retrouvera dans un siècle.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
221,Manuel de vivacité,manuel-de-vivacite ,"Ce livre contient des exercices de coordination et d'équilibre, et ses mots sont chargés de magie. Si vous passez 48 heures sur une période de 6 jours ou moins à étudier le contenu du livre et pratiquez ses lignes directrices, votre Dextérité augmente de 2, tout comme votre maximum pour cette caractéristique. Le manuel perd alors sa magie, mais la retrouvera dans un siècle.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
222,Manuel des golems,manuel-des-golems ,"Ce livre contient les informations et incantations nécessaires pour créer un golem d'un type particulier. Le MD choisit le type ou le détermine aléatoirement. Pour déchiffrer le manuel et l'utiliser, vous devez être un lanceur de sorts possédant au moins deux emplacements de sorts de niveau 5. Une créature qui ne peut pas utiliser le manuel des golems et qui tente de le lire subit 6d6 dégâts psychiques.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
223,Marteau de lancer nain,marteau-de-lancer-nain ,"Vous gagnez un bonus de +3 à l'attaque et aux dégâts fait avec cette arme magique. Elle a la propriété lancer avec une portée normale de 6 mètres et une portée longue de 18 mètres.

","Arme (marteau de guerre), très rare (nécessite un lien par un nain)",Dungeon Master´s Guide (SRD)
224,Marteau de tonnerre,marteau-de-tonnerre ,"Vous obtenez un bonus de +1 à l'attaque et aux dégâts réalisés avec cette arme magique.

","Arme (maillet), légendaire",Dungeon Master´s Guide (SRD)
225,Masse d'anéantissement,masse-d-aneantissement ,"Quand vous frappez un fiélon ou un mort-vivant avec cette arme magique, cette créature subit 2d6 dégâts radiants supplémentaires. Si elle a 25 points de vie ou moins après avoir subi ces dégâts elle doit réussir un jet de sauvegarde de Sagesse DD 15 ou être détruite. En cas de réussite vous effrayez la créature jusqu'à la fin de votre prochain tour.

","Arme (masse d'armes), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
226,Masse destructrice,masse-destructrice ,"Vous gagnez un bonus de +1 aux jets d'attaque et de dégâts effectués avec cette arme magique. Ce bonus passe à +3 quand vous l'utilisez contre un artificiel.

","Arme (masse d'armes), rare",Dungeon Master´s Guide (SRD)
227,Masse terrifiante,masse-terrifiante ,"Cette arme magique possède 3 charges. Tant que vous la tenez vous pouvez utiliser une action et dépenser une charge pour relâcher une vague de terreur. Toutes les créatures de votre choix dans un rayon de 6 mètres centré sur vous doivent réussir un jet de sauvegarde de Sagesse DD 15 ou vous les effrayez pour une minute.

","Arme (masse d'armes), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
228,Médaillon des pensées,medaillon-des-pensees ,"Le médaillon possède 3 charges. Lorsque vous le portez, vous pouvez utiliser une action et dépenser 1 charge pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=detection-des-pensees"">détection des pensées</a> (sauvegarde DD 13) depuis le médaillon. Le médaillon récupère 1d3 charges dépensées chaque jour à l'aube.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
229,Menottes dimensionnelles,menottes-dimensionnelles ,"Vous pouvez utiliser votre action pour mettre ses menottes à une créature incapable d'agir. Les menottes s'ajustent pour convenir à des créatures de taille P, M ou G. En plus de servir de menottes banales, les menottes empêchent la créature qu'elles attachent d'utiliser tout moyen de déplacement extradimensionnel, ce qui inclut la téléportation ou le voyage vers d'autres plans d'existence. Elles n'empêchent pas la créature de passer au travers d'un portail interdimensionnel.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
230,Miroir d'emprisonnement,miroir-d-emprisonnement ,"Quand ce miroir de 1,20 mètre de haut est regardé indirectement, sa surface montre de pâles images de créatures. Le miroir pèse 25 kg et a une CA de 11, 10 points de vie et la vulnérabilité aux dégâts contondants. Il se brise en éclats et est détruit s'il tombe à 0 point de vie.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
231,"Munition +1, +2 ou +3",munition-1-2-ou-3 ,"Vous obtenez un bonus à l'attaque et aux dégâts effectués avec cette munition magique. Le bonus est déterminé par la rareté de la munition. Une fois qu'elle touche une cible, la munition n'est plus magique.

","Arme (toute munition), peu commun (+1) rare (+2) ou très rare (+3)",Dungeon Master´s Guide (SRD)
232,Munition percutante,munition-percutante ,"Cette munition frappe fort. Une créature touchée par la munition doit réussir un jet de sauvegarde de Force DD 10 ou tomber à terre.

","Arme (toute munition), commun",Xanathar´s Guide to Everything
233,Noir rasoir,noir-rasoir ,"Dissimulée dans le donjon de la Montagne de la Plume Blanche, Noir rasoir scintille tel un pan de ciel nocturne constellé d'étoiles. Son fourreau noir est décoré de fragments d'obsidienne.

","Arme (épée à deux mains), légendaire (nécessite un lien avec une créature d'alignement non loyal)",Dungeon Master´s Guide
234,Oeil artificiel,oeil-artificiel ,"Cet œil artificiel remplace un vrai œil qui aurait été perdu ou enlevé. L'œil artificiel est incrusté dans votre orbite, et vous seul pouvez le retirer. Vous pouvez voir à travers le petit orbe comme s'il s'agissait d'un œil normal.

","Objet merveilleux, commun (nécessite un lien)",Xanathar´s Guide to Everything
235,Oeil et Main de Vecna,oeil-et-main-de-vecna ,"On prononce rarement le nom de Vecna sinon en murmurant. Vecna était en son temps l'un des magiciens les plus puissants qui existaient. En usant et abusant de magie noire et du pouvoir des ténèbres, il se forgea un terrible empire. Mais malgré toute sa grandeur, Vecna ne pouvait pas se soustraire à sa condition de mortel. Il commença à fuir la mort et entama des recherches pour échapper à la mort qui s'approchait à grands pas.

","Objet merveilleux, artéfact (nécessite un lien)",Dungeon Master´s Guide
236,Orbe boussole,orbe-boussole ,"Lorsque que vous tenez cet orbe, vous pouvez utiliser une action pour déterminer dans quelle direction se trouve le nord. Cette propriété ne fonctionne que sur le plan matériel.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
237,Orbe des dragons,orbe-des-dragons ,"Au cours des siècles passés, les elfes et les humains menèrent une terrible guerre contre les dragons malfaisants. Mais alors que le monde semblait courir à sa perte, de puissants magiciens se rassemblèrent et combinèrent leurs pouvoirs les plus puissants pour forger les cinq Orbes des dragons (ou Orbes draconiques) afin d'aider les armées humanoïdes à vaincre les dragons. Un orbe fut amené dans chacune des tours des cinq magiciens, où ils les utilisèrent pour remporter rapidement le conflit. Les magiciens se servirent des orbes pour attirer les dragons jusqu'à eux, puis, grâce à leur puissante magie, détruire les grands reptiles.

","Objet merveilleux, artéfact (nécessite un lien)",Dungeon Master´s Guide (SRD)
238,Orbe horloge,orbe-horloge ,"Lorsque que vous tenez cet orbe, vous pouvez utiliser une action pour déterminer si c'est le matin, l'après-midi, le soir ou la nuit à l'extérieur. Cette propriété ne fonctionne que sur le plan matériel.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
239,Parchemin de protection,parchemin-de-protection ,"Chaque parchemin de protection fonctionne contre un type spécifique de créature.

","Parchemin, rare",Dungeon Master´s Guide (BR)
240,Parchemin de sort,parchemin-de-sort ,"Un parchemin de sort contient les mots d'un seul sort, écrit dans un langage mystique. Si le sort est sur la liste de sorts de votre classe, vous pouvez lire le parchemin et lancer son sort sans avoir à fournir les composantes matérielles. Sinon, le parchemin est inintelligible. Lancer le sort en lisant le parchemin demande le temps d'incantation normal du sort. Une fois que le sort est lancé, les mots sur le parchemin disparaissent, et il tombe en poussière. Si l'incantation est interrompue, le parchemin n'est pas perdu.

","Parchemin, variable",Dungeon Master´s Guide (SRD)
241,Parfum envoûtant,parfum-envoutant ,"Cette petite fiole contient un parfum magique, suffisant pour une utilisation. Vous pouvez utiliser une action pour appliquer le parfum sur vous-même, et son effet dure 1 heure. Durant ce temps, vous avez un avantage à tous les jets de Charisme dirigés contre des humanoïdes de FP 1 ou inférieur. Ceux qui subissent l'effet du parfum ne savent pas qu'ils ont été influencés par la magie.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
242,Perche de pêcheur,perche-de-pecheur ,"Lorsque vous tenez cette perche de 3 mètres, vous pouvez prononcer un mot de commande et la transformer en canne à pêche avec un hameçon, une ligne et un moulinet. En prononçant de nouveau le mot de commande, la canne à pêche redevient une perche normale de 3 mètres.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
243,Perche rétractable,perche-retractable ,"Lorsque vous tenez cette perche de 3 mètres, vous pouvez utiliser une action pour prononcer un mot de commande et la transformer en un bâton de 30 cm de long, pour faciliter son stockage. Le poids de la perche ne change pas. Vous pouvez utiliser une action pour prononcer un autre mot de commande et retransformer le bâton en perche, cependant le bâton ne s'allongera que dans la mesure où l'espace environnant le permet.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
244,Perle de force,perle-de-force ,"Cette petite sphère noire mesure 2 cm de diamètre et pèse 30 grammes. Généralement, 1d4 + 4 perles de force sont trouvées en même temps.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
245,Perle de pouvoir,perle-de-pouvoir ,"Tant que cette perle est sur vous, vous pouvez utiliser une action pour prononcer son mot de commande et récupérer un emplacement de sort dépensé. Si l'emplacement de sort était de niveau 4 ou supérieur, le nouvel emplacement est de niveau 3. Une fois que vous avez utilisé la perle, elle ne peut être réutilisée avant la prochaine aube.

","Objet merveilleux, peu commun (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
246,Perle désaltérante,perle-desalterante ,"Cette perle spongieuse, sans saveur et gélatineuse, se dissout dans un liquide, transformant jusqu'à l'équivalent d'une pinte en eau potable fraîche et froide. La perle n'a aucun effet sur les liquides magiques ou les substances nocives telles que le poison.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
247,Perle nutritive,perle-nutritive ,"Cette perle spongieuse, sans saveur et gélatineuse, se dissout sous votre langue et fournit autant de nourriture qu'un jour de ration.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
248,Philtre d'amour,philtre-d-amour ,"La prochaine fois que vous voyez une créature dans les 10 minutes qui suivent après avoir bu ce philtre, vous êtes charmé par cette créature pendant 1 heure. Si la créature est d'une espèce et du sexe qui vous attire normalement, vous la considérez comme votre véritable amour tant que vous êtes charmé. Cette potion aux teintes roses contient un liquide effervescent dont les bulles discrètes sont en forme de coeur.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
249,Pierre de contrôle des élémentaires de la terre,pierre-de-controle-des-elementaires-de-la-terre ,"Si la pierre est en contact avec le sol, vous pouvez utiliser une action pour prononcer son mot de commande et invoquer un élémentaire de la Terre, comme si vous aviez lancé le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=invocation-d-elementaire"">invocation d'élémentaire</a>. La pierre ne peut être réutilisée de cette façon avant la prochaine aube. La pierre pèse 2,5 kg.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
250,Pierre de Ioun,pierre-de-ioun ,"Les pierres de Ioun doivent leur nom à Ioun, un dieu de la connaissance et des prophéties vénéré dans certains mondes. De nombreux types de pierres de Ioun existent, chaque type aillant une combinaison forme-couleur qui lui est propre.

","Objet merveilleux, variable (nécessite un lien)",Dungeon Master´s Guide (SRD)
251,Pierre porte-bonheur,pierre-porte-bonheur ,"Si vous portez cette agate polie sur vous, vous gagnez un bonus de +1 aux jets de caractéristique et aux jets de sauvegarde.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
252,Pierres de communication à distance,pierres-de-communication-a-distance ,"Les pierres de communication à distance fonctionnent par paire, chacune de ces pierres lisses étant sculptée pour correspondre à sa pierre complémentaire.

","Objet merveilleux, peu commun",Dungeon Master´s Guide
253,Pigments merveilleux de Nolzur,pigments-merveilleux-de-nolzur ,"Généralement trouvés dans 1d4 pots accompagnés d'un pinceau à l'intérieur d'une fine boîte en bois (pesant 500 grammes au total), ces pigments vous permettent de créer des objets en trois dimensions en les peignant en deux dimensions. La peinture coule du pinceau pour dessiner l'image de l'objet sur lequel vous vous concentrez.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
254,Pipe des monstres de fumée,pipe-des-monstres-de-fumee ,"Lorsque vous fumez avec cette pipe, vous pouvez utiliser une action pour expirer une bouffée de fumée qui prend la forme d'une créature, comme un dragon, un flumph ou un froghemoth. La forme doit être suffisamment petite pour tenir dans un cube de 30 cm et redevient une bouffée de fumée ordinaire après quelques secondes.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
255,Plume de Quaal,plume-de-quaal ,"Ce tout petit objet ressemble à une plume. Différents types de plume magique existent, chacune étant d'usage unique et possédant son propre effet. Le MD choisit le type de la plume ou le détermine aléatoirement.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
256,Pot d'éveil,pot-d-eveil ,"Si vous plantez un arbuste ordinaire dans ce pot en argile de 5 kg et le laissez pousser pendant 30 jours, l'arbuste se transforme magiquement en un <a href=""https://www.aidedd.org/dnd/monstres.php?vf=arbuste-eveille"">arbuste éveillé</a> à la fin de cette période. Lorsque l'arbuste se réveille, ses racines brisent le pot et le détruisent. L'arbuste éveillé est amical envers vous. En l'absence d'ordres de votre part, il ne fait rien.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
257,Potion d'agrandissement,potion-d-agrandissement ,"Lorsque vous buvez cette potion, vous bénéficiez de l'effet « agrandissement » du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=agrandissement-rapetissement"">agrandissement/rapetissement</a> pendant 1d4 heures (aucune concentration n'est requise). Une couleur rouge s'étend depuis une petite perle pour colorer le liquide clair de la potion, puis se contracte. Secouer la fiole n'interrompt pas ce processus.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
258,Potion d'amitié avec les animaux,potion-d-amitie-avec-les-animaux ,"Quand vous buvez cette potion, vous pouvez lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=amitie-avec-les-animaux"">amitié avec les animaux</a> (sauvegarde DD 13) pendant 1 heure à volonté. Agiter ce liquide boueux fait apparaître de petits morceaux : une écaille de poisson, une langue de colibri, une griffe de chat ou un poil d'écureuil.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
259,Potion d'escalade,potion-d-escalade ,"Quand vous buvez cette potion, vous gagnez une vitesse d'escalade égale à votre vitesse de marche pendant 1 heure. Pendant ce temps, vous avez un avantage aux jets de Force (Athlétisme) que vous effectuez pour escalader. La potion est séparée en bandes brune, argent et grise qui ressemblent à des couches de pierre. Secouer la bouteille ne mélange pas les couleurs.

","Potion, commun",Dungeon Master´s Guide (SRD)
260,Potion d'héroïsme,potion-d-heroisme ,"Après avoir bu cette potion, vous gagnez 10 points de vie temporaires qui durent 1 heure. Durant tout ce temps, vous êtes sous l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=benediction"">bénédiction</a> (pas de concentration requise). Cette potion présente des bulles bleues et des vapeurs comme si elle était bouillante.

","Potion, rare",Dungeon Master´s Guide (SRD)
261,Potion d'invisibilité,potion-d-invisibilite ,"Le contenant de cette potion semble vide, mais on sent toutefois qu'il contient un liquide. Lorsque vous buvez cette potion, vous devenez invisible pour une durée de 1 heure. Tout ce que vous portez ou transportez devient également invisible. L'effet se termine plus tôt si vous attaquez ou lancez un sort.

","Potion, très rare",Dungeon Master´s Guide (SRD)
262,Potion d'invulnérabilité,potion-d-invulnerabilite ,"Après avoir bu cette potion, vous avez une résistance à tous les dégâts durant 1 minute. Le liquide sirupeux de cette potion ressemble à du fer liquéfié.

","Potion, rare",Dungeon Master´s Guide (BR)
263,Potion de clairvoyance,potion-de-clairvoyance ,"Quand vous buvez cette potion, vous bénéficiez de l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=clairvoyance"">clairvoyance</a>. Un globe oculaire s'agite sur le liquide jaunâtre, mais disparaît lorsque la potion est ouverte.

","Potion, rare",Dungeon Master´s Guide (SRD)
264,Potion de diminution,potion-de-diminution ,"Lorsque vous buvez cette potion, vous bénéficiez de l'effet « rapetissement » du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=agrandissement-rapetissement"">agrandissement/rapetissement</a> pendant 1d4 heures (pas de concentration requise). Le rouge du liquide de cette potion se contracte en permanence en une petite perle, puis s'étend pour colorer le liquide clair autour de lui. Secouer la bouteille n'interrompt pas ce processus.

","Potion, rare",Dungeon Master´s Guide (SRD)
265,Potion de force de géant,potion-de-force-de-geant ,"Lorsque vous buvez cette potion, votre valeur de Force change pour 1 heure. Le type du géant détermine la valeur (voir le tableau ci-dessous). La potion n'a aucun effet sur vous si votre Force est égale ou supérieure à celle indiquée.

","Potion, variable",Dungeon Master´s Guide (SRD)
266,Potion de forme gazeuse,potion-de-forme-gazeuse ,"Lorsque vous buvez cette potion, vous bénéficiez de l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=forme-gazeuse"">forme gazeuse</a> pour 1 heure (pas de concentration requise) ou jusqu'à ce que vous mettiez fin à l'effet par une action bonus. Le flacon de cette potion semble contenir un brouillard qui se déplace et se déverse comme de l'eau.

","Potion, rare",Dungeon Master´s Guide (SRD)
267,Potion de guérison,potion-de-guerison ,"Lorsque vous buvez cette potion, vous regagnez des points de vie. Le nombre de points de vie dépend de la rareté de la potion, comme indiqué dans la table ci-dessous. Quelle que soit sa puissance, le liquide rouge de la potion se met à luire lorsqu'il est agité.

","Potion, variable",Dungeon Master´s Guide (SRD)
268,Potion de lecture des pensées,potion-de-lecture-des-pensees ,"Quand vous buvez cette potion, vous bénéficiez de l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=detection-des-pensees"">détection des pensées</a> (sauvegarde DD 13). Dans la potion, d'un liquide pourpre dense, flotte un nuage ovoïde rose.

","Potion, rare",Dungeon Master´s Guide (SRD)
269,Potion de poison,potion-de-poison ,"Cette concoction ressemble, sent et a le gout d'une potion de guérison ou de toute autre potion bénéfique. Cependant, c'est effectivement du poison masqué par une illusion magique. Un sort d'<a href=""https://www.aidedd.org/dnd/sorts.php?vf=identification"">identification</a> révèle sa vraie nature.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
270,Potion de résistance,potion-de-resistance ,"Lorsque vous buvez cette potion, vous gagnez une résistance à un type de dégâts pendant 1 heure. Le MD choisit le type ou le détermine au hasard parmi les options ci-dessous.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
271,Potion de respiration aquatique,potion-de-respiration-aquatique ,"Vous pouvez respirer sous l'eau pendant 1 heure après avoir bu cette potion. Son fluide vert nuageux sent la mer et une bulle ressemblant à une méduse y flotte en suspension.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
272,Potion de souffle enflammé,potion-de-souffle-enflamme ,"Après avoir bu cette potion, vous pouvez utiliser une action bonus pour expirer du feu sur une cible à 9 mètres ou moins de vous. La cible doit effectuer un jet de sauvegarde de Dextérité DD 13, subissant 4d6 dégâts de feu en cas d'échec, ou la moitié de ces dégâts en cas de réussite. L'effet se termine après avoir expiré du feu trois fois ou après une heure.

","Potion, peu commun",Dungeon Master´s Guide (BR)
273,Potion de vitalité,potion-de-vitalite ,"Lorsque vous buvez cette potion, cela supprime toute fatigue dont vous souffrez, et guérit toute maladie ou un poison qui vous affecte. Pour les prochaines 24 heures, vous regagnez le maximum de points de vie pour tout DV que vous dépensez. Ce liquide pourpre émet régulièrement une lumière terne, rappelant le battement d'un coeur.

","Potion, très rare",Dungeon Master´s Guide (BR)
274,Potion de vitesse,potion-de-vitesse ,"Lorsque vous buvez cette potion, vous bénéficiez de l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=hate"">hâte</a> pendant 1 minute (pas de concentration requise). Le liquide jaune de cette potion est strié de noir et tourbillonne sur lui-même.

","Potion, très rare",Dungeon Master´s Guide (SRD)
275,Potion de vol,potion-de-vol ,"Lorsque vous buvez cette potion, votre obtenez une vitesse de vol égale à votre vitesse de marche pour une durée de 1 heure et pouvez flotter. Si l'effet de la potion se termine alors que vous êtes dans les airs, vous tombez, à moins de posséder un autre moyen de vous retenir en l'air. Ce liquide clair flotte en haut de son contenant et des impuretés nuageuses blanches dérivent autour.

","Potion, très rare",Dungeon Master´s Guide (SRD)
276,Poudre à éternuer,poudre-a-eternuer ,"Trouvée dans un petit contenant, cette poudre ressemble à du sable très fin. Il ressemble à de la poussière de disparition, et un sort d'<a href=""https://www.aidedd.org/dnd/sorts.php?vf=identification"">identification</a> l'indique comme tel. Il y a suffisamment de poudre pour une seule utilisation.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
277,Poupée qui parle,poupee-qui-parle ,"Lorsque cette poupée en peluche se trouve 1,50 mètre ou moins de vous, vous pouvez passer un repos court pour lui apprendre à dire jusqu'à six phrases, dont aucune ne peut dépasser six mots, et définir dans quelle condition prononcera chaque phrase. Vous pouvez remplacer d'anciennes phrases par de nouvelles. Quelle que soit la condition, celle-ci doit se produire à 1,50 mètre ou moins de la poupée pour la faire parler. Par exemple, chaque fois que quelqu'un prend la poupée, elle peut dire : « Je veux un bonbon ». Les phrases de la poupée sont perdues lorsque votre lien avec la poupée se termine.

","Objet merveilleux, commun (nécessite un lien)",Xanathar´s Guide to Everything
278,Poussière de disparition,poussiere-de-disparition ,"Rangée dans un petit paquet, cette poudre ressemble à du sable très fin. Il y en a assez pour une utilisation. Lorsque vous utilisez une action pour jeter la poussière dans l'air, vous et toute créature et objet dans un rayon de 3 mètres autour de vous devenez invisibles pour 2d4 minutes. La durée est la même pour tous les sujets, et la poussière est consommée lorsque sa magie prend effet. Si une créature affectée par la poussière attaque ou lance un sort, l'invisibilité se termine pour cette créature.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
279,Poussière dessiccative,poussiere-dessiccative ,"Ce petit paquet contient 1d6 + 4 pincées de poussière. Vous pouvez utiliser une action pour en saupoudrer une pincée sur de l'eau.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
280,Puits des mondes,puits-des-mondes ,"Cette étoffe noire et raffinée, aussi douce que la soie, est repliée aux dimensions d'un mouchoir de poche. Lorsqu'elle est dépliée, elle prend une forme circulaire de 1,80 mètre de diamètre.

","Objet merveilleux, légendaire",Dungeon Master´s Guide (SRD)
281,Puits portable,puits-portable ,"Ce fin tissu noir, doux comme de la soie fait la taille d'un mouchoir une fois plié. Étendu, il a la forme d'un cercle de 1,80 mètre de diamètre.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
282,Regard charmeur,regard-charmeur ,"Ces lentilles de cristal se placent sur les yeux. Elles possèdent 3 charges. Tant que vous en êtes équipé, vous pouvez dépenser 1 charge en utilisant une action et ainsi lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=charme-personne"">charme-personne</a> (sauvegarde DD 13) sur un humanoïde se trouvant à 9 mètres de vous, à condition que vous et la cible puissiez vous voir mutuellement. Les lentilles récupèrent toutes les charges dépensées chaque jour à l'aube.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
283,Robe aux étoiles,robe-aux-etoiles ,"Cette robe noire ou bleue foncée est brodée de petites étoiles blanches ou argentées. Vous gagnez un bonus de +1 aux jets de sauvegarde tant que vous êtes équipé de cette robe. Six étoiles, situées sur la robe au niveau du torse, sont particulièrement larges. Tant que vous êtes équipé de cette robe, vous pouvez utiliser une action pour prélever l'une de ces étoiles et l'utiliser pour lancer un sort de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=projectile-magique"">projectile magique</a> (équivalent à un emplacement de sort de niveau 5). Chaque jour, au crépuscule, 1d6 étoiles prélevées réapparaissent sur la robe.

","Objet merveilleux, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
