Id,Nom,Type,Taille,Alignement,CA,PV,Force,Dexterite,Constitution,Intelligence,Sagesse,Charisme,Competences,Jets de sauvegarde,Immunités aux dégâts,Résistances aux dégâts,Immunités aux états,Sens,Langues,FP
264,Mâne,Fiélon (démon) , P, chaotique mauvais, 9,9 (2d6 + 2),10 (+0),9 (-1),13 (+1),3 (-4),8 (-1),4 (-3),,, poison," froid, feu, foudre"," charmé, effrayé, empoisonné"," vision dans le noir 18 m, Perception passive 9", comprend l'abyssal mais ne peut pas parler, 1/8 (25 PX)
265,Mante obscure,Monstruosité , P, sans alignement, 11,22 (5d6 + 5),16 (+3),12 (+1),13 (+1),2 (-4),10 (+0),5 (-3), Discrétion +3,,,,," vision aveugle 18 m, Perception passive 10", —, 1/2 (100 PX)
266,Manteleur,Aberration , G, chaotique neutre, 14 (armure naturelle),78 (12d10 + 12),17 (+3),15 (+2),12 (+1),13 (+1),12 (+1),14 (+2), Discrétion +5,,,,," vision dans le noir 18 m, Perception passive 11"," profond, commun des profondeurs", 8 (3900 PX)
267,Manticore,Monstruosité , G, loyal mauvais, 14 (armure naturelle),68 (8d10 + 24),17 (+3),16 (+3),17 (+3),7 (-2),12 (+1),8 (-1),,,,,," vision dans le noir 18 m, Perception passive 11", commun, 3 (700 PX)
268,Maride,Élémentaire , G, chaotique neutre, 17 (armure naturelle),229 (17d10 + 136),22 (+6),12 (+1),26 (+8),18 (+4),17 (+3),18 (+4),, Dex +5 Sag +7 Cha +8,," acide, froid, foudre",," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 13", aquatique, 11 (7200 PX)
269,Marilith,Fiélon (démon) , G, chaotique mauvais, 18 (armure naturelle),189 (18d10 + 90),18 (+4),20 (+5),20 (+5),18 (+4),16 (+3),20 (+5),," For +9, Con +10, Sag +8, Cha +10", poison," froid, feu, foudre ; contondant, perforant et tranchant non magiques", empoisonné," vision véritable 36 m, Perception passive 13"," abyssal, télépathie 36 m", 16 (15000 PX)
270,Mastodonte des ombres,Monstruosité , G, chaotique mauvais, 18 (armure naturelle),93 (11d10 + 33),20 (+5),13 (+1),16 (+3),9 (-1),10 (+0),10 (+0),,,,,," vision dans le noir 36 m, perception des vibrations 18 m, Perception passive 10", mastodonte des ombres, 5 (1800 PX)
271,Méduse,Monstruosité , M, loyal mauvais, 15 (armure naturelle),127 (17d8 + 51),10 (+0),15 (+2),16 (+3),12 (+1),13 (+1),15 (+2)," Discrétion +5, Intuition +4, Perception +4, Tromperie +5",,,,," vision dans le noir 18 m, Perception passive 14", commun, 6 (2300 PX)
272,Méphite boueux,Élémentaire , P, neutre mauvais, 11,27 (6d6 + 6),8 (-1),12 (+1),12 (+1),9 (-1),11 (+0),7 (-2), Discrétion +3,, poison,, empoisonné," vision dans le noir 18 m, Perception passive 10"," aquatique, terreux", 1/4 (50 PX)
273,Méphite fumant,Élémentaire , P, neutre mauvais, 12,22 (5d6 + 5),6 (-2),14 (+2),12 (+1),10 (+0),10 (+0),11 (+0)," Discrétion +4, Perception +2",," feu, poison",, empoisonné," vision dans le noir 18 m, Perception passive 12"," aérien, igné", 1/4 (50 PX)
274,Méphite gelé,Élémentaire , P, neutre mauvais, 11,21 (6d6),7 (-2),13 (+1),10 (+0),9 (-1),11 (+0),12 (+1)," Discrétion +3, Perception +2",," froid, poison",, empoisonné," vision dans le noir 18 m, Perception passive 12"," aérien, aquatique", 1/2 (100 PX)
275,Méphite magmatique,Élémentaire , P, neutre mauvais, 11,22 (5d6 + 5),8 (-1),12 (+1),12 (+1),7 (-2),10 (+0),10 (+0), Discrétion +3,," feu, poison",, empoisonné," vision dans le noir 18 m, Perception passive 10"," igné, terreux", 1/2 (100 PX)
276,Méphite poussiéreux,Élémentaire , P, neutre mauvais, 12,17 (5d6),5 (-3),14 (+2),10 (+0),9 (-1),11 (+0),10 (+0)," Discrétion +4, Perception +2",, poison,, empoisonné," vision dans le noir 18 m, Perception passive 12"," aérien, terreux", 1/2 (100 PX)
277,Méphite vaporeux,Élémentaire , P, neutre mauvais, 10,21 (6d6),5 (-3),11 (+0),10 (+0),11 (+0),10 (+0),12 (+1),,," feu, poison",, empoisonné," vision dans le noir 18 m, Perception passive 10"," aquatique, igné", 1/4 (50 PX)
278,Merrow,Monstruosité , G, chaotique mauvais, 13 (armure naturelle),45 (6d10 + 12),18 (+4),10 (+0),15 (+2),8 (-1),10 (+0),9 (-1),,,,,," vision dans le noir 18 m, Perception passive 10"," abyssal, aquatique", 2 (450 PX)
279,Mezzoloth,Fiélon (yugoloth) , M, neutre mauvais, 18 (armure naturelle),75 (10d8 + 30),18 (+4),11 (+0),16 (+3),7 (-2),10 (+0),11 (+0), Perception +3,," acide, poison"," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision aveugle 18 m, vision dans le noir 18 m, Perception passive 13"," abyssal, infernal, télépathie 18 m", 5 (1800 PX)
280,Mille-pattes géant,Bête , P, sans alignement, 13 (armure naturelle),4 (1d6 + 1),5 (-3),14 (+2),12 (+1),1 (-5),7 (-2),3 (-4),,,,,," vision aveugle 9 m, Perception passive 8", —, 1/4 (50 PX)
281,Mimique,Monstruosité (métamorphe) , M, neutre, 12 (armure naturelle),58 (9d8 + 18),17 (+3),12 (+1),15 (+2),5 (-3),13 (+1),8 (-1), Discrétion +5,, acide,, à terre," vision dans le noir 18 m, Perception passive 11", —, 2 (450 PX)
282,Minotaure,Monstruosité , G, chaotique mauvais, 14 (armure naturelle),76 (9d10 + 27),18 (+4),11 (+0),16 (+3),6 (-2),16 (+3),9 (-1), Perception +7,,,,," vision dans le noir 18 m, Perception passive 17", abyssal, 3 (700 PX)
283,Moisissure violette,Plante , M, sans alignement, 5,18 (4d8),3 (-4),1 (-5),10 (+0),1 (-5),3 (-4),1 (-5),,,,," aveuglé, assourdi, effrayé"," vision aveugle 9 m (aveugle au-delà de ce rayon), Perception passive 6", —, 1/4 (50 PX)
284,Molosse,Bête , M, sans alignement, 12,5 (1d8 + 1),13 (+1),14 (+2),12 (+1),3 (-4),12 (+1),7 (-2), Perception +3,,,,, Perception passive 13, —, 1/8 (25 PX)
285,Momie,Mort-vivant , M, loyal mauvais, 11 (armure naturelle),58 (9d8 + 18),16 (+3),8 (-1),15 (+2),6 (-2),10 (+0),12 (+1),, Sag +2," nécrotique, poison"," contondant, perforant et tranchant d'attaques non magiques"," charmé, épuisement, effrayé, paralysé, empoisonné"," vision dans le noir 18 m, Perception passive 10", les langues qu'elle connaissait de son vivant, 3 (700 PX)
286,Monodrone,Artificiel , M, loyal neutre, 15 (armure naturelle),5 (1d8 + 1),10 (+0),13 (+1),12 (+1),4 (-3),10 (+0),5 (-3),,,,,," vision véritable 36 m, Perception passive 10", modron, 1/8 (25 PX)
287,Mule,Bête , M, sans alignement, 10,11 (2d8 + 2),14 (+2),10 (+0),13 (+1),2 (-4),10 (+0),5 (-3),,,,,, Perception passive 10, —, 1/8 (25 PX)
288,"Myconide, adulte",Plante , M, loyal neutre, 12 (armure naturelle),22 (4d8 + 4),10 (+0),10 (+0),12 (+1),10 (+0),13 (+1),7 (-2),,,,,," vision dans le noir 36 m, Perception passive 11", —, 1/2 (100 PX)
289,"Myconide, pousse",Plante , P, loyal neutre, 10,7 (2d6),8 (-1),10 (+0),10 (+0),8 (-1),11 (+0),5 (-3),,,,,," vision dans le noir 36 m, Perception passive 10", —, 0 (10 PX)
290,"Myconide, souverain",Plante , G, loyal neutre, 13 (armure naturelle),60 (8d10 + 16),12 (+1),10 (+0),14 (+2),13 (+1),15 (+2),10 (+0),,,,,," vision dans le noir 36 m, Perception passive 12", —, 2 (450 PX)
291,Naga corrupteur,Monstruosité , G, chaotique mauvais, 15 (armure naturelle),75 (10d10 + 20),18 (+4),17 (+3),14 (+2),16 (+3),15 (+2),16 (+3),," Dex +6, Con +5, Sag +5, Cha +6", poison,," charmé, empoisonné"," vision dans le noir 18 m, Perception passive 12"," abyssal, commun", 8 (3900 PX)
292,Naga gardien,Monstruosité , G, loyal bon, 18 (armure naturelle),127 (15d10 + 45),19 (+4),18 (+4),16 (+3),16 (+3),19 (+4),18 (+4),," Dex +8, Con +7, Int +7, Sag +8, Cha +8", poison,," charmé, empoisonné"," vision dans le noir 18 m, Perception passive 14"," céleste, commun", 10 (5900 PX)
293,Naga osseux,Mort-vivant , G, loyal mauvais, 15 (armure naturelle),58 (9d10 + 9),15 (+2),16 (+3),12 (+1),15 (+2),15 (+2),16 (+3),,, poison,," charmé, épuisement, paralysé, empoisonné"," vision dans le noir 18 m, Perception passive 12"," commun, plus une autre langue", 4 (1100 PX)
294,Nalfeshnie,Fiélon (démon) , G, chaotique mauvais, 18 (armure naturelle),184 (16d10 + 96),21 (+5),10 (+0),22 (+6),19 (+4),12 (+1),15 (+2),," Con +11, Int +9, Sag +6, Cha +7", poison," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision véritable 36 m, Perception passive 11"," abyssal, télépathie 36 m", 13 (10000 PX)
295,Nécrophage,Mort-vivant , M, neutre mauvais, 14 (armure de cuir clouté),45 (6d8 + 18),15 (+2),14 (+2),16 (+3),10 (+0),13 (+1),15 (+2)," Discrétion +4, Perception +3",, poison," nécrotique ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"," épuisement, empoisonné"," vision dans le noir 18 m, Perception passive 13", les langues qu'il connaissait de son vivant, 3 (700 PX)
296,Nielleux,Plante , P, neutre mauvais, 13 (armure naturelle),4 (1d6 + 1),6 (-2),13 (+1),12 (+1),4 (-3),8 (-1),3 (-4), Discrétion +3,,,," aveuglé, assourdi"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 9", comprend le commun mais ne peut pas parler, 1/8 (25 PX)
297,Noble,Humanoïde (toute race) , M, tout alignement, 15 (cuirasse),9 (2d8),11 (+0),12 (+1),11 (+0),12 (+1),14 (+2),16 (+3)," Intuition +4, Persuasion +5, Tromperie +5",,,,, Perception passive 12, deux langues au choix, 1/8 (25 PX)
298,Nothic,Aberration , M, neutre mauvais, 15 (armure naturelle),45 (6d8 + 18),14 (+2),16 (+3),16 (+3),13 (+1),10 (+0),8 (-1)," Arcanes +3, Discrétion +5, Intuition +4, Perception +2",,,,," vision véritable 36 m, Perception passive 12", commun des profondeurs, 2 (450 PX)
299,Nuée d'insectes,Nuée de bêtes TP , M, sans alignement, 12 (armure naturelle),22 (5d8),3 (-4),13 (+1),10 (+0),1 (-5),7 (-2),1 (-5),,,," contondant, perforant, tranchant"," à terre, agrippé, charmé, effrayé, entravé, étourdi, paralysé, pétrifié"," vision aveugle 3 m, Perception passive 8", —, 1/2 (100 PX)
300,Nuée de chauves-souris,Nuée de bêtes TP , M, sans alignement, 12,22 (5d8),5 (-3),15 (+2),10 (+0),2 (-4),12 (+1),4 (-3),,,," contondant, perforant, tranchant"," à terre, agrippé, charmé, effrayé, entravé, étourdi, paralysé, pétrifié"," vision aveugle 18 m, Perception passive 11", —, 1/4 (50 PX)
301,Nuée de corbeaux,Nuée de bêtes TP , M, sans alignement, 12,24 (7d8 - 7),6 (-2),14 (+2),8 (-1),3 (-4),12 (+1),6 (-2), Perception +5,,," contondant, perforant, tranchant"," à terre, agrippé, charmé, effrayé, entravé, étourdi, paralysé, pétrifié", Perception passive 15, —, 1/4 (50 PX)
302,Nuée de piranhas,Nuée de bêtes TP , M, sans alignement, 13,28 (8d8 - 8),13 (+1),16 (+3),9 (-1),1 (-5),7 (-2),2 (-4),,,," contondant, perforant, tranchant"," à terre, agrippé, charmé, effrayé, entravé, étourdi, paralysé, pétrifié"," vision dans le noir 18 m, Perception passive 8", —, 1 (200 PX)
303,Nuée de rats,Nuée de bêtes TP , M, sans alignement, 10,24 (7d8 - 7),9 (-1),11 (+0),9 (-1),2 (-4),10 (+0),3 (-4),,,," contondant, perforant, tranchant"," à terre, agrippé, charmé, effrayé, entravé, étourdi, paralysé, pétrifié"," vision dans le noir 9 m, Perception passive 10", —, 1/4 (50 PX)
304,Nuée de serpents venimeux,Nuée de bêtes TP , M, sans alignement, 14,36 (8d8),8 (-1),18 (+4),11 (+0),1 (-5),10 (+0),3 (-4),,,," contondant, perforant, tranchant"," à terre, agrippé, charmé, effrayé, entravé, étourdi, paralysé, pétrifié"," vision aveugle 3 m, Perception passive 10", —, 2 (450 PX)
305,Nycaloth,Fiélon (yugoloth) , G, neutre mauvais, 18 (armure naturelle),123 (13d10 + 52),20 (+5),11 (+0),19 (+4),12 (+1),10 (+0),15 (+2)," Discrétion +4, Intimidation +6, Perception +4",," acide, poison"," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision aveugle 18 m, vision dans le noir 18 m, Perception passive 14"," abyssal, infernal, télépathie 18 m", 9 (5000 PX)
306,Ogre,Géant , G, chaotique mauvais, 11 (armure de peaux),59 (7d10 + 21),19 (+4),8 (-1),16 (+3),5 (-3),7 (-2),7 (-2),,,,,," vision dans le noir 18 m, Perception passive 8"," commun, géant", 2 (450 PX)
307,Ombre,Mort-vivant , M, chaotique mauvais, 12,16 (3d8 + 3),6 (-2),14 (+2),13 (+1),6 (-2),10 (+0),8 (-1), Discrétion +4 (ou +6 dans une lumière faible ou dans les ténèbres),," nécrotique, poison"," acide, froid, feu, foudre, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," épuisement, effrayé, agrippé, paralysé, pétrifié, empoisonné, à terre, entravé"," vision dans le noir 18 m, Perception passive 10", —, 1/2 (100 PX)
308,Oni,Géant , G, loyal mauvais, 16 (cotte de mailles),110 (13d10 + 39),19 (+4),11 (+0),16 (+3),14 (+2),12 (+1),15 (+2)," Arcanes +5, Perception +4, Tromperie +8"," Dex +3, Con +6, Sag +4, Cha +5",,,," vision dans le noir 18 m, Perception passive +4"," commun, géant", 7 (2900 PX)
309,Orc,Humanoïde (orc) , M, chaotique mauvais, 13 (armure de peaux),15 (2d8 + 6),16 (+3),12 (+1),16 (+3),7 (-2),11 (+0),10 (+0), Intimidation +2,,,,," vision dans le noir 18 m, Perception passive 10"," commun, orc", 1/2 (100 PX)
310,"Orc, chef de guerre",Humanoïde (orc) , M, chaotique mauvais, 16 (cotte de mailles),93 (11d8 + 44),18 (+4),12 (+1),18 (+4),11 (+0),11 (+0),16 (+3), Intimidation +5," For +6, Con +6, Sag +2",,,," vision dans le noir 18 m, Perception passive 10"," commun, orc", 4 (1100 PX)
311,"Orc, Oeil de Gruumsh",Humanoïde (orc) , M, chaotique mauvais," 16 (broigne, bouclier)",45 (6d8 + 18),16 (+3),12 (+1),16 (+3),9 (-1),13 (+1),12 (+1)," Intimidation +3, Religion +1",,,,," vision dans le noir 18 m, Perception passive 11"," commun, orc", 2 (450 PX)
312,Orog,Humanoïde (orc) , M, chaotique mauvais, 18 (harnois),42 (5d8 + 20),18 (+4),12 (+1),18 (+4),12 (+1),11 (+0),12 (+1)," Intimidation +5, Survie +2",,,,," vision dans le noir 18 m, Perception passive 10"," commun, orc", 2 (450 PX)
313,Otyugh,Aberration , G, neutre, 14 (armure naturelle),114 (12d10 + 48),16 (+3),11 (+0),19 (+4),6 (-2),13 (+1),6 (-2),, Con +7,,,," vision dans le noir 36 m, Perception passive 11", otyugh, 5 (1800 PX)
314,Ours brun,Bête , G, sans alignement, 11 (armure naturelle),34 (4d10 + 12),19 (+4),10 (+0),16 (+3),2 (-4),13 (+1),7 (-2), Perception +3,,,,, Perception passive 13, —, 1 (200 PX)
315,Ours noir,Bête , M, sans alignement, 11 (armure naturelle),19 (3d8 + 6),15 (+2),10 (+0),14 (+2),2 (-4),12 (+1),7 (-2), Perception +3,,,,, Perception passive 13, —, 1/2 (100 PX)
316,Ours polaire,Bête , G, sans alignement, 12 (armure naturelle),42 (5d10 + 15),20 (+5),10 (+0),16 (+3),2 (-4),13 (+1),7 (-2), Perception +3,,,,, Perception passive 13, —, 2 (450 PX)
317,Ours-garou,"Humanoïde (humain, métamorphe) ", M, neutre bon," 10 sous forme humanoïde, 11 (armure naturelle) sous forme d'ours et sous forme hybride.",135 (18d8 + 54),19 (+4),10 (+0),17 (+3),11 (+0),12 (+1),12 (+1), Perception +7,," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent",,, Perception passive 17, commun (ne peut pas parler sous forme d'ours), 5 (1800 PX)
318,Ours-hibou,Monstruosité , G, sans alignement, 13 (armure naturelle),59 (7d10 + 21),20 (+5),12 (+1),17 (+3),3 (-4),12 (+1),7 (-2), Perception +3,,,,," vision dans le noir 18 m, Perception passive 13", —, 3 (700 PX)
319,Oxydeur,Monstruosité , M, sans alignement, 14 (armure naturelle),27 (5d8 + 5),13 (+1),12 (+1),13 (+1),2 (-4),13 (+1),6 (-2),,,,,," vision dans le noir 18 m, Perception passive 11", —, 1/2 (100 PX)
320,Panthère,Bête , M, sans alignement, 12,13 (3d8),14 (+2),15 (+2),10 (+0),3 (-4),14 (+2),7 (-2)," Discrétion +6, Perception +4",,,,, Perception passive 14, —, 1/4 (50 PX)
321,Pégase,Céleste , G, chaotique bon, 12,59 (7d10 + 21),18 (+4),15 (+2),16 (+3),10 (+0),15 (+2),13 (+1), Perception +6," Dex +4, Sag +4, Cha +3",,,, Perception passive 16," comprend le céleste, le commun, l'elfique et le sylvestre mais ne peut pas parler", 2 (450 PX)
322,Pentadrone,Artificiel , G, loyal neutre, 16 (armure naturelle),32 (5d10 + 5),15 (+2),14 (+2),12 (+1),10 (+0),10 (+0),13 (+1), Perception +4,,,,," vision véritable 36 m, Perception passive 14", modron, 2 (450 PX)
323,Perceur,Monstruosité , M, sans alignement, 15 (armure naturelle),22 (3d8 + 9),10 (+0),13 (+1),16 (+3),1 (-5),7 (-2),3 (-4), Discrétion +5,,,,," vision aveugle 9 m, vision dans le noir 18 m, Perception passive 8", —, 1/2 (100 PX)
324,Péryton,Monstruosité , M, chaotique mauvais, 13 (armure naturelle),33 (6d8 + 6),16 (+3),12 (+1),13 (+1),9 (-1),12 (+1),10 (+0), Perception +5,,," contondant, perforant et tranchant d'attaques non magiques",, Perception passive 15, comprend le commun et l'elfique mais ne peut pas parler, 2 (450 PX)
325,Pieuvre,Bête , P, sans alignement, 12,3 (1d6),4 (-3),15 (+2),11 (+0),3 (-4),10 (+0),4 (-3)," Discrétion +4, Perception +2",,,,," vision dans le noir 9 m, Perception passive 12", —, 0 (10 PX)
326,Pieuvre géante,Bête , G, sans alignement, 11,52 (8d10 + 8),17 (+3),13 (+1),13 (+1),4 (-3),10 (+0),4 (-3)," Discrétion +5, Perception +4",,,,," vision dans le noir 18 m, Perception passive 14", —, 1 (200 PX)
327,Piranha,Bête , TP, sans alignement, 13,1 (1d4 - 1),2 (-4),16 (+3),9 (-1),1 (-5),7 (-2),2 (-4),,,,,," vision dans le noir 18 m, Perception passive 8", —, 0 (10 PX)
328,Pixie,Fée , TP, neutre bon, 15,1 (1d4 - 1),2 (-4),20 (+5),8 (-1),10 (+0),14 (+2),15 (+2)," Discrétion +7, Perception +4",,,,, Perception passive 14, sylvestre, 1/4 (50 PX)
329,Planétar,Céleste , G, loyal bon, 19 (armure naturelle),200 (16d10 + 112),24 (+7),20 (+5),24 (+7),19 (+4),22 (+6),25 (+7), Perception +11," Con +12, Sag +11, Cha +12",," radiant ; contondant, perforant et tranchant d'attaques non magiques"," charmé, effrayé, épuisement"," vision véritable 36 m, Perception passive 21"," toutes, télépathie 36 m", 16 (15000 PX)
330,Plésiosaure,Bête , G, sans alignement, 13 (armure naturelle),68 (8d10 + 24),18 (+4),15 (+2),16 (+3),2 (-4),12 (+1),5 (-3)," Discrétion +4, Perception +3",,,,, Perception passive 13, —, 2 (450 PX)
331,Poney,Bête , M, sans alignement, 10,11 (2d8 + 2),15 (+2),10 (+0),13 (+1),2 (-4),11 (+0),7 (-2),,,,,, Perception passive 10, —, 1/8 (25 PX)
332,Pouding noir,Vase , G, sans alignement, 7,85 (10d10 + 30),16 (+3),5 (-3),16 (+3),1 (-5),6 (-2),1 (-5),,," acide, froid, foudre, tranchant",," aveuglé, charmé, assourdi, épuisement, effrayé, à terre"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 8", —, 4 (1100 PX)
333,Prêtre,Humanoïde (toute race) , M, tout alignement, 13 (chemise de mailles),27 (5d8 + 5),10 (+0),10 (+0),12 (+1),13 (+1),16 (+3),13 (+1)," Médecine +7, Persuasion +3, Religion +5",,,,, Perception passive 13, deux langues au choix, 2 (450 PX)
334,Pseudodragon,Dragon , TP, neutre bon, 13 (armure naturelle),7 (2d4 + 2),6 (-2),15 (+2),13 (+1),10 (+0),12 (+1),10 (+0)," Discrétion +4, Perception +3",,,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 13", comprend le commun et le draconique mais ne peut pas parler, 1/4 (50 PX)
335,Ptéranodon,Bête , M, sans alignement, 13 (armure naturelle),13 (3d8),12 (+1),15 (+2),10 (+0),2 (-4),9 (-1),5 (-3), Perception +1,,,,, Perception passive 11, —, 1/4 (50 PX)
336,Quadrone,Artificiel , M, loyal neutre, 16 (armure naturelle),22 (4d8 + 4),12 (+1),14 (+2),12 (+1),10 (+0),10 (+0),11 (+0), Perception +2,,,,," vision véritable 36 m, Perception passive 12", modron, 1 (200 PX)
337,Quaggoth,Humanoïde (quaggoth) , M, chaotique neutre, 13 (armure naturelle),45 (6d8 + 18),17 (+3),12 (+1),16 (+3),6 (-2),12 (+1),7 (-2), Athlétisme +5,, poison,, empoisonné," vision dans le noir 36 m, Perception passive 11", commun des profondeurs, 2 (450 PX)
338,"Quaggoth, serviteur des spores",Plante , M, sans alignement, 13 (armure naturelle),45 (6d8 + 18),17 (+3),12 (+1),16 (+3),2 (-4),6 (-2),1 (-5),,, poison,," aveuglé, charmé, effrayé, paralysé, empoisonné"," vision aveugle 9 m (aveugle au-delà de ce rayon), Perception passive 8", —, 1 (200 PX)
339,Quasit,"Fiélon (démon, métamorphe) ", TP, chaotique mauvais, 13,7 (3d4),5 (-3),17 (+3),10 (+0),7 (-2),10 (+0),10 (+0), Discrétion +5,, poison," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision dans le noir 36 m, Perception passive 10"," abyssal, commun", 1 (200 PX)
340,Rakshasa,Fiélon , M, loyal mauvais, 16 (armure naturelle),110 (13d8 + 52),14 (+2),17 (+3),18 (+4),13 (+1),16 (+3),20 (+5)," Intuition +8, Tromperie +10",," contondant, perforant et tranchant d'attaques non magiques",,," vision dans le noir 18 m, Perception passive 13"," commun, infernal", 13 (10000 PX)
341,Rat,Bête , TP, sans alignement, 10,1 (1d4 - 1),2 (-4),11 (+0),9 (-1),2 (-4),10 (+0),4 (-3),,,,,," vision dans le noir 9 m, Perception passive 10", —, 0 (10 PX)
342,Rat géant,Bête , P, sans alignement, 12,7 (2d6),7 (-2),15 (+2),11 (+0),2 (-4),10 (+0),4 (-3),,,,,," vision dans le noir 18 m, Perception passive 10", —, 1/8 (25 PX)
343,Rat-garou,"Humanoïde (humain, métamorphe) ", M, loyal mauvais, 12,33 (6d8 + 6),10 (+0),15 (+2),12 (+1),11 (+0),10 (+0),8 (-1)," Discrétion +4, Perception +2",," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent",,," vision dans le noir 18 m (forme de rat uniquement), Perception passive 12", commun (ne peut pas parler sous forme de rat), 2 (450 PX)
344,Remorhaz,Monstruosité , TG, sans alignement, 17 (armure naturelle),195 (17d12 + 85),24 (+7),13 (+1),21 (+5),4 (-3),10 (+0),5 (-3),,," feu, froid",,," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 10", —, 11 (7200 PX)
345,"Remorhaz, jeune",Monstruosité , G, sans alignement, 14 (armure naturelle),93 (11d10 + 33),18 (+4),13 (+1),17 (+3),3 (-4),10 (+0),4 (-3),,," froid, feu",,," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 10", —, 5 (1800 PX)
346,Requin de récif,Bête , M, sans alignement, 12 (armure naturelle),22 (4d8 + 4),14 (+2),13 (+1),13 (+1),1 (-5),10 (+0),4 (-3), Perception +2,,,,," vision aveugle 9 m, Perception passive 12", —, 1/2 (100 PX)
347,Requin géant,Bête , TG, sans alignement, 13 (armure naturelle),126 (11d12 + 55),23 (+6),11 (+0),21 (+5),1 (-5),10 (+0),5 (-3), Perception +3,,,,," vision aveugle 18 m, Perception passive 13", —, 5 (1800 PX)
348,Requin-chasseur,Bête , G, sans alignement, 12 (armure naturelle),45 (6d10 + 12),18 (+4),13 (+1),15 (+2),1 (-5),10 (+0),4 (-3), Perception +2,,,,," vision aveugle 9 m, Perception passive 12", —, 2 (450 PX)
349,Résinieux,Plante , M, neutre mauvais, 12 (armure naturelle),11 (2d8 + 2),12 (+1),12 (+1),13 (+1),4 (-3),8 (-1),3 (-4),,,,," aveuglé, assourdi"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 9", comprend le commun mais ne peut pas parler, 1/4 (50 PX)
350,Revenant,Mort-vivant , M, neutre, 13 (armure de cuir),136 (16d8 + 64),18 (+4),14 (+2),18 (+4),13 (+1),16 (+3),18 (+4),," For +7, Con +7, Sag +6, Cha +7", poison," nécrotique, psychique"," charmé, épuisement, effrayé, paralysé, empoisonné, étourdi"," vision dans le noir 18 m, Perception passive 13", les langues qu'il connaissait de son vivant, 5 (1800 PX)
351,Rhinocéros,Bête , G, sans alignement, 11 (armure naturelle),45 (6d10 + 12),21 (+5),8 (-1),15 (+2),2 (-4),12 (+1),6 (-2),,,,,, Perception passive 11, —, 2 (450 PX)
352,Roc,Monstruosité , Gig, sans alignement, 15 (armure naturelle),248 (16d20 + 80),28 (+9),10 (+0),20 (+5),3 (-4),10 (+0),9 (-1), Perception +4," Dex +4, Con +9, Sag +4, Cha +3",,,, Perception passive 14, —, 11 (7200 PX)
353,Roi/reine lézard,Humanoïde (homme-lézard) , M, chaotique mauvais, 15 (armure naturelle),78 (12d8 + 24),17 (+3),12 (+1),15 (+2),11 (+0),11 (+0),15 (+2)," Discrétion +5, Perception +4, Survie +4"," Con +4, Sag +2",,, effrayé," vision dans le noir 18 m, Perception passive 14"," abyssal, draconique", 4 (1100 PX)
354,Roturier,Humanoïde (toute race) , M, tout alignement, 10,4 (1d8),10 (+0),10 (+0),10 (+0),10 (+0),10 (+0),10 (+0),,,,,, Perception passive 10, une langue au choix (généralement le commun), 0 (10 PX)
355,Sahuagin,Humanoïde (sahuagin) , M, loyal mauvais, 12 (armure naturelle),22 (4d8 + 4),13 (+1),11 (+0),12 (+1),12 (+1),13 (+1),9 (-1), Perception +5,,,,," vision dans le noir 36 m, Perception passive 15", sahuagin, 1/2 (100 PX)
356,"Sahuagin, baron",Humanoïde (sahuagin) , G, loyal mauvais, 16 (cuirasse),76 (9d10 + 27),19 (+4),15 (+2),16 (+3),14 (+2),13 (+1),17 (+3), Perception +7," Dex +5, Con +6, Int +5, Sag +4",,,," vision dans le noir 36 m, Perception passive 17", sahuagin, 5 (1800 PX)
357,"Sahuagin, prêtresse",Humanoïde (sahuagin) , M, loyal mauvais, 12 (armure naturelle),33 (6d8 + 6),13 (+1),11 (+0),12 (+1),12 (+1),14 (+2),13 (+1)," Perception +6, Religion +3",,,,," vision dans le noir 36 m, Perception passive 16", sahuagin, 2 (450 PX)
358,Salamandre,Élémentaire , G, neutre mauvais, 15 (armure naturelle),90 (12d10 + 24),18 (+4),14 (+2),15 (+2),11 (+0),10 (+0),12 (+1),,, feu," contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 10", igné, 5 (1800 PX)
359,Sanglier,Bête , M, sans alignement, 11 (armure naturelle),11 (2d8 + 2),13 (+1),11 (+0),12 (+1),2 (-4),9 (-1),5 (-3),,,,,, Perception passive 9, —, 1/4 (50 PX)
